# gamma	percentage	time
0.000000000000000000e+00 9.712316342086373400e-01 0.000000000000000000e+00
0.000000000000000000e+00 9.853639560310409884e-01 5.000000000000000000e+03
0.000000000000000000e+00 1.003232408909942031e+00 1.000000000000000000e+04
0.000000000000000000e+00 1.018014492655214820e+00 1.500000000000000000e+04
0.000000000000000000e+00 1.024999433326058140e+00 2.000000000000000000e+04
0.000000000000000000e+00 1.022562826115298806e+00 2.500000000000000000e+04
0.000000000000000000e+00 1.031009731112597638e+00 3.000000000000000000e+04
0.000000000000000000e+00 1.028248242940403845e+00 3.500000000000000000e+04
0.000000000000000000e+00 1.039131755148461789e+00 4.000000000000000000e+04
0.000000000000000000e+00 1.036857588418419684e+00 4.500000000000000000e+04
0.000000000000000000e+00 1.040918600436351760e+00 5.000000000000000000e+04
0.000000000000000000e+00 1.048715743510781451e+00 5.500000000000000000e+04
0.000000000000000000e+00 1.046441576780739569e+00 6.000000000000000000e+04
0.000000000000000000e+00 1.064634910621075292e+00 6.500000000000000000e+04
