# gamma d2min std
4.000000000000006155e-03 6.363307804036458792e-01 4.393736828628048707e-01
5.999999999999928134e-03 6.273582045099431737e-01 4.146675473930231393e-01
8.000000000000012310e-03 6.334950289358428632e-01 4.337810027863909790e-01
9.999999999999934289e-03 6.426409588127367511e-01 4.512176220061018261e-01
1.200000000000001933e-02 6.379170873224432325e-01 4.464562115653321617e-01
1.399999999999994131e-02 6.414423353160512153e-01 4.604741106712023635e-01
1.600000000000002462e-02 6.413592496468591975e-01 4.451089915931311092e-01
1.799999999999994660e-02 6.488118081932607861e-01 4.633956782150276954e-01
2.000000000000003164e-02 6.448961228042140448e-01 4.640980510041570195e-01
2.199999999999995015e-02 6.505888352864583890e-01 4.869590187868118591e-01
2.400000000000003866e-02 6.541201834063288256e-01 4.631394572239133089e-01
2.599999999999996064e-02 6.564366014007261274e-01 4.936420352417072999e-01
2.800000000000004569e-02 6.606772690400095627e-01 5.025552356365786677e-01
2.999999999999996766e-02 6.611558861841067003e-01 4.843432279890119152e-01
3.200000000000004924e-02 6.786258114464962521e-01 5.087948836458535684e-01
3.399999999999997469e-02 6.742734117246684811e-01 5.099357743358493567e-01
3.600000000000005973e-02 6.819672163154987254e-01 5.460119724238285954e-01
3.799999999999997824e-02 6.791807125808869694e-01 5.442865816237012488e-01
4.000000000000006328e-02 6.923261310783616063e-01 5.709854344979592433e-01
4.199999999999998873e-02 7.017183861742425366e-01 5.751965602071226202e-01
4.400000000000007377e-02 7.085910386955492912e-01 5.785593216722296761e-01
4.599999999999999228e-02 7.050505028270991348e-01 5.747887303986909391e-01
4.799999999999991773e-02 7.233026539812184019e-01 6.076376354501702437e-01
5.000000000000000278e-02 7.344713122218274881e-01 6.357057473553869853e-01
5.200000000000008782e-02 7.451190199317392349e-01 6.540762070353206559e-01
5.400000000000000633e-02 7.472511198390150433e-01 6.637400933300364736e-01
5.599999999999993178e-02 7.630873529454702542e-01 6.930653783168883031e-01
5.800000000000000988e-02 7.711557788963857574e-01 7.394535774125796657e-01
5.999999999999993533e-02 7.805352212496055042e-01 7.419140362992718840e-01
6.200000000000002037e-02 7.938004944543086694e-01 7.717765556160017804e-01
6.399999999999994582e-02 8.236498774049083593e-01 8.212809350559212573e-01
6.600000000000003086e-02 8.244203996172665416e-01 8.311996584873259097e-01
6.799999999999994937e-02 8.504314892637311329e-01 8.903562073710979963e-01
7.000000000000003442e-02 8.545434574554134910e-01 9.271407008313029552e-01
7.199999999999995293e-02 8.992248589192708419e-01 1.023922518222733391e+00
7.400000000000003797e-02 9.027511182567866665e-01 9.962995343128728809e-01
7.599999999999995648e-02 9.372834637567075688e-01 1.088710490225448968e+00
7.800000000000004152e-02 9.348831969184027146e-01 1.047806586103951609e+00
7.999999999999997391e-02 9.814814992858268416e-01 1.184551585989380262e+00
8.200000000000005895e-02 1.005054879884785368e+00 1.199403175702661084e+00
8.399999999999997746e-02 1.027987022713462650e+00 1.295388806337317122e+00
8.600000000000006251e-02 1.054671961998895124e+00 1.435085268901048261e+00
8.799999999999998102e-02 1.101278595308554209e+00 1.500935109863695160e+00
9.000000000000006606e-02 1.136777284390782849e+00 1.561779408113391554e+00
9.199999999999998457e-02 1.172464875110479587e+00 1.633854381246288012e+00
9.400000000000006961e-02 1.227251225295928005e+00 1.697708970117211003e+00
