# gamma	percentage	time
0.000000000000000000e+00 9.286198315493617850e-01 0.000000000000000000e+00
1.999999935794397835e-03 9.307572355525738361e-01 2.000000000000000000e+04
3.999999871588794803e-03 9.302639884749095422e-01 4.000000000000000000e+04
6.000000953911810778e-03 9.340455494036693507e-01 6.000000000000000000e+04
8.000000889706208179e-03 9.261535961610402046e-01 8.000000000000000000e+04
9.999999678971987008e-03 9.296063257046904837e-01 1.000000000000000000e+05
1.200000076129500298e-02 9.220432038471708669e-01 1.200000000000000000e+05
1.399999955056078355e-02 9.315793140153477703e-01 1.400000000000000000e+05
1.600000063288379779e-02 9.353608749441075787e-01 1.600000000000000000e+05
1.799999942214957488e-02 9.350320435589980494e-01 1.800000000000000000e+05
2.000000050447259259e-02 9.251671020057116168e-01 2.000000000000000000e+05
2.199999929373837315e-02 9.279621687791427265e-01 2.200000000000000000e+05
2.400000037606139086e-02 9.241806078503829180e-01 2.400000000000000000e+05
2.600000145838440163e-02 9.258247647759306753e-01 2.600000000000000000e+05
2.799999910112156709e-02 9.320725610930120641e-01 2.800000000000000000e+05
3.000000018344457786e-02 9.189193056886302280e-01 3.000000000000000000e+05
3.200000126576759557e-02 9.208922939992875145e-01 3.200000000000000000e+05
3.399999890850475409e-02 9.169463173779729415e-01 3.400000000000000000e+05
3.599999884429914976e-02 9.246738549280472119e-01 3.600000000000000000e+05
3.799999992662216747e-02 9.245094392354924473e-01 3.800000000000000000e+05
4.000000100894517824e-02 9.212211253843970438e-01 4.000000000000000000e+05
4.199999865168235064e-02 9.187548899960753523e-01 4.200000000000000000e+05
4.399999973400536141e-02 9.115205995236653758e-01 4.400000000000000000e+05
4.599999737674251993e-02 9.149733290673156549e-01 4.600000000000000000e+05
4.800000075212278172e-02 9.251671020057116168e-01 4.800000000000000000e+05
4.999999954138856229e-02 9.029709835108171712e-01 5.000000000000000000e+05
5.200000291676880326e-02 9.126715093715487281e-01 5.200000000000000000e+05
5.400000055950596178e-02 9.136580035268774269e-01 5.400000000000000000e+05
5.599999820224313418e-02 9.162886546077537719e-01 5.600000000000000000e+05
5.800000157762337516e-02 9.082322856725698612e-01 5.800000000000000000e+05
6.000000036688915572e-02 9.083967013651246258e-01 6.000000000000000000e+05
6.199999800962631424e-02 9.067525444395768686e-01 6.200000000000000000e+05
6.400000138500656910e-02 8.993538382746121274e-01 6.400000000000000000e+05
6.599999902774374150e-02 9.126715093715487281e-01 6.600000000000000000e+05
6.799999781700950818e-02 8.990250068895025981e-01 6.800000000000000000e+05
7.000000119238976304e-02 8.995182539671668920e-01 7.000000000000000000e+05
7.199999883512693544e-02 8.972164342714000762e-01 7.200000000000000000e+05
7.400000221050717641e-02 8.954078616532975543e-01 7.400000000000000000e+05
7.599999985324433494e-02 9.034642305884814650e-01 7.600000000000000000e+05
7.799999864251011550e-02 8.932704576500855032e-01 7.800000000000000000e+05
8.000000201789037035e-02 8.858717514851206509e-01 8.000000000000000000e+05
8.199999966062752887e-02 8.853785044074563571e-01 8.200000000000000000e+05
8.399999730336468740e-02 8.924483791873115690e-01 8.400000000000000000e+05
8.600000182527356429e-02 8.889956496436614009e-01 8.600000000000000000e+05
8.799999946801072281e-02 8.865294142553397094e-01 8.800000000000000000e+05
9.000000398991959971e-02 8.917907164170925105e-01 9.000000000000000000e+05
9.199999475348503986e-02 8.842275945595728937e-01 9.200000000000000000e+05
9.400000386150839105e-02 8.766644727020533878e-01 9.400000000000000000e+05
9.600000150424556344e-02 8.801172022457035560e-01 9.600000000000000000e+05
9.800000029351134401e-02 8.702522606924171233e-01 9.800000000000000000e+05
