# gamma d2min
1.999999999999995705e-03 6.530745688012941086e-01
3.999999999999991410e-03 6.433869305437183161e-01
5.999999999999987114e-03 6.492675663253629770e-01
7.999999999999982819e-03 6.506647305772568224e-01
9.999999999999979391e-03 6.471280837318497126e-01
1.199999999999997423e-02 6.537951851996527397e-01
1.399999999999997080e-02 6.567369787503946066e-01
1.599999999999996564e-02 6.558626752564710172e-01
1.799999999999996048e-02 6.578360178602431496e-01
1.999999999999995878e-02 6.626319618035826364e-01
2.199999999999995362e-02 6.641438922802240796e-01
2.399999999999994846e-02 6.692072401889994637e-01
2.599999999999994676e-02 6.713568909820865072e-01
2.799999999999994160e-02 6.691362018327809968e-01
2.999999999999993644e-02 6.697666954979480947e-01
3.199999999999993128e-02 6.782160230054451455e-01
3.399999999999992611e-02 6.847608302241160461e-01
3.600000000000008055e-02 6.906635102055713737e-01
3.800000000000008232e-02 6.921762913115530047e-01
4.000000000000007716e-02 6.981201698824180957e-01
4.200000000000007200e-02 7.061199650508995784e-01
4.400000000000006684e-02 7.103152066662722364e-01
4.600000000000006861e-02 7.166295190419824657e-01
4.800000000000006345e-02 7.244774991615372528e-01
5.000000000000005829e-02 7.282147825027620591e-01
5.200000000000005312e-02 7.423518023634785301e-01
5.400000000000004796e-02 7.411081751321811906e-01
5.600000000000004280e-02 7.531085819562813866e-01
5.800000000000003764e-02 7.605723998263890229e-01
6.000000000000003247e-02 7.812532705906723995e-01
6.200000000000003425e-02 8.032336767657038967e-01
6.400000000000002909e-02 7.985717360045769819e-01
6.600000000000001699e-02 8.223256206163193083e-01
6.800000000000001876e-02 8.264271783913351710e-01
7.000000000000002054e-02 8.622559907492898246e-01
7.200000000000000844e-02 8.721160148141571256e-01
7.400000000000001021e-02 9.016410405520045579e-01
7.600000000000001199e-02 9.101282393722379682e-01
7.799999999999999989e-02 9.410282605784405785e-01
8.000000000000000167e-02 9.631949496961803581e-01
8.199999999999998956e-02 9.864304681305239297e-01
8.399999999999997746e-02 1.004690820424952724e+00
8.599999999999997924e-02 1.036562958258365086e+00
8.799999999999996714e-02 1.093914690027225411e+00
8.999999999999996891e-02 1.124886742479482393e+00
9.199999999999997069e-02 1.162146786902225504e+00
9.399999999999995859e-02 1.227848881903014666e+00
9.599999999999996037e-02 1.277072148183001854e+00
9.799999999999996214e-02 1.363146307161458459e+00
9.999999999999995004e-02 1.375360853251262894e+00
1.019999999999999518e-01 1.433836241236584819e+00
1.039999999999999397e-01 1.499816257782907059e+00
1.060000000000000941e-01 1.557638328438683883e+00
1.079999999999999294e-01 1.679795891268149877e+00
1.100000000000000977e-01 1.782937080910668826e+00
1.120000000000000856e-01 1.865358565317235318e+00
1.140000000000000874e-01 2.000212327911931709e+00
1.159999999999999226e-01 2.300780627049794802e+00
1.180000000000000770e-01 3.529233465455335228e+00
1.200000000000000649e-01 5.108603765479008629e+00
1.220000000000000806e-01 5.619507243306108180e+00
1.240000000000000685e-01 6.044135656784643373e+00
1.260000000000000564e-01 6.283804600686553776e+00
1.280000000000000582e-01 6.551375360878314957e+00
1.300000000000000600e-01 6.667583968826940932e+00
1.320000000000000340e-01 6.886830107786852118e+00
1.340000000000000357e-01 7.058299019239267835e+00
1.360000000000000375e-01 7.247829465999843457e+00
1.380000000000000115e-01 7.461165261531328419e+00
1.400000000000000411e-01 7.605204096975614725e+00
1.420000000000000151e-01 7.762478884801135237e+00
1.440000000000000169e-01 7.943382529326468600e+00
1.460000000000000187e-01 8.149964734347380002e+00
1.480000000000000204e-01 8.336167109659090357e+00
1.499999999999999944e-01 8.497364675690496583e+00
1.520000000000000240e-01 8.785325852659406465e+00
1.539999999999999980e-01 9.073773806032985334e+00
1.559999999999999998e-01 9.207293130632496769e+00
1.580000000000000016e-01 9.392349649678426005e+00
1.600000000000000033e-01 9.492593540400095620e+00
1.619999999999999774e-01 9.574083263729086468e+00
1.639999999999999791e-01 9.628158091130050167e+00
1.659999999999999809e-01 9.834862526189631637e+00
1.679999999999999549e-01 1.002085661636679426e+01
1.699999999999999567e-01 1.040532453155381987e+01
1.719999999999999585e-01 1.077343158986545113e+01
1.739999999999999603e-01 1.100497113782749636e+01
1.759999999999999343e-01 1.112555927347892926e+01
1.779999999999999361e-01 1.135320496009903835e+01
1.800000000000001044e-01 1.156430388642085028e+01
1.819999999999999396e-01 1.175104601753669620e+01
1.840000000000001079e-01 1.183390725453361725e+01
1.860000000000000264e-01 1.208613291000433954e+01
1.880000000000000004e-01 1.223974108495107238e+01
1.900000000000000022e-01 1.235808838783735908e+01
1.920000000000000040e-01 1.257585577924755427e+01
1.940000000000000890e-01 1.280438675777501523e+01
1.960000000000000631e-01 1.296545105304805823e+01
1.980000000000000648e-01 1.327307381945430897e+01
2.000000000000000666e-01 1.351312319617660940e+01
