# gamma	percentage
0.000000000000000000e+00 1.098438538601892667e+00
2.000000063944863335e-03 1.114204821266051137e+00
4.000000127889726670e-03 1.103152169501486313e+00
6.000000191834590005e-03 1.100551545556883060e+00
8.000000255779453340e-03 1.102176935522260148e+00
1.000000146159687672e-02 1.105590254449552168e+00
1.199999924179661996e-02 1.102827091508411073e+00
1.400000044761404334e-02 1.104289942477250541e+00
1.600000051155890668e-02 1.104452481473788161e+00
1.800000057550376828e-02 1.096650609639977736e+00
2.000000063944863335e-02 1.102176935522260148e+00
2.200000184526606020e-02 1.101039162546496142e+00
2.399999962546580171e-02 1.103314708498024155e+00
2.599999968941066331e-02 1.094375063688449723e+00
2.800000203710064500e-02 1.101689318532647066e+00
3.000000210104551007e-02 1.097463304622666280e+00
3.200000102311781336e-02 1.106890566421854016e+00
3.400000222893523327e-02 1.108515956387231105e+00
3.600000115100753656e-02 1.099088694588043591e+00
3.800000007307983985e-02 1.089173815799242773e+00
4.000000013702471185e-02 1.099088694588043591e+00
4.200000020096956999e-02 1.097138226629590818e+00
4.400000369053210653e-02 1.085435418878875291e+00
4.599999918698673834e-02 1.086735730851176918e+00
4.799999925093160341e-02 1.084135106906573442e+00
4.999999931487646154e-02 1.089823971785393697e+00
5.199999937882132661e-02 1.091449361750770786e+00
5.400000401025643187e-02 1.089173815799242773e+00
5.600000407420129001e-02 1.080721787979281423e+00
5.800000299627359329e-02 1.083647489916960360e+00
6.000000306021846530e-02 1.072757377148933378e+00
6.200000312416332343e-02 1.081046865972356885e+00
6.400000318810818156e-02 1.076983391058913941e+00
6.600000211018049179e-02 1.069669136214716598e+00
6.800000217412535686e-02 1.063492654346283484e+00
7.000000223807020805e-02 1.069506597218178978e+00
7.200000116014251828e-02 1.072107221162782453e+00
7.400000122408738334e-02 1.071782143169706991e+00
7.600000128803224841e-02 1.067718668256264047e+00
7.800000135197712736e-02 1.051464768602492272e+00
8.000000027404942371e-02 1.063980271335896566e+00
8.200000033799427490e-02 1.052765080574794121e+00
8.400000040193913997e-02 1.057966328464001071e+00
8.599999932401143632e-02 1.056178399502086140e+00
8.800000509731910336e-02 1.057153633481312527e+00
9.000000401939141359e-02 1.045938442720210082e+00
9.199999837397347668e-02 1.051139690609417032e+00
9.399999843791834175e-02 1.042200045799842378e+00
9.599999850186320682e-02 1.047076215695974089e+00
9.799999856580807189e-02 1.037161336907173270e+00
9.999999748788036824e-02 1.033422939986805789e+00
1.019999975518252333e-01 1.032610245004117244e+00
1.039999976157700984e-01 1.028709309087211921e+00
1.060000079565679987e-01 1.026271224139146288e+00
1.080000080205128637e-01 1.020257281267250571e+00
1.100000080844577288e-01 1.012943026423053450e+00
1.120000070065300252e-01 1.012943026423053450e+00
1.140000070704748902e-01 1.026108685142608445e+00
1.160000059925472005e-01 1.023345522201467350e+00
1.180000060564920655e-01 1.038786726872550359e+00
1.200000061204369167e-01 1.020094742270712951e+00
1.220000061843817957e-01 1.032447706007579402e+00
1.240000062483266469e-01 1.030172160056051389e+00
1.260000051703989710e-01 1.028709309087211921e+00
1.280000052343437944e-01 1.044963208740983696e+00
1.300000052982886733e-01 1.027734075107985756e+00
1.320000042203610113e-01 1.034398173966031953e+00
1.340000042843058625e-01 1.020907437253401495e+00
1.360000043482507137e-01 1.017981735315722558e+00
1.380000032703230239e-01 1.027896614104523376e+00
1.400000033342678751e-01 1.031147394035277776e+00
1.420000033982127263e-01 1.026108685142608445e+00
1.440000034621576053e-01 1.034885790955645257e+00
1.460000023842298877e-01 1.032447706007579402e+00
1.480000024481747667e-01 1.030009621059513769e+00
1.500000025121196456e-01 1.024645834173768977e+00
1.520000014341919559e-01 1.022532827218778806e+00
1.540000014981367793e-01 1.025783607149532983e+00
1.560000015620816582e-01 1.024158217184155895e+00
1.580000016260265094e-01 1.018631891301873482e+00
1.600000005480988474e-01 1.024808373170306819e+00
1.620000006120436986e-01 1.024808373170306819e+00
1.640000006759885498e-01 1.026921380125296990e+00
1.659999995980608600e-01 1.011967792443827063e+00
1.679999996620057390e-01 1.025133451163382281e+00
1.699999997259505902e-01 1.026108685142608445e+00
1.719999986480228726e-01 1.021557593239552419e+00
1.740000101306933555e-01 1.028709309087211921e+00
1.760000090527656380e-01 1.022045210229165502e+00
1.780000091167105170e-01 1.031147394035277776e+00
1.800000091806553681e-01 1.019282047288024406e+00
1.820000092446002471e-01 1.012780487426515608e+00
1.839999978898195221e-01 1.023833139191080432e+00
1.860000082306174085e-01 1.022370288222240964e+00
1.879999968758366835e-01 1.018794430298411102e+00
1.900000083585071387e-01 1.024808373170306819e+00
1.919999970037264136e-01 1.020582359260326033e+00
1.940000073445243001e-01 1.008554473516535044e+00
1.959999959897435751e-01 1.017656657322647096e+00
1.980000063305414615e-01 1.012130331440364905e+00
1.999999961176333052e-01 1.014080799398817456e+00
