# gamma d2min std
3.999999999999981869e-03 7.680472364188762890e-01 6.201043658168150507e-01
5.999999999999972369e-03 7.662684373500630031e-01 6.329947626381013936e-01
7.999999999999963737e-03 7.677040103969382523e-01 6.224737444223769067e-01
9.999999999999955105e-03 8.029933862117266674e-01 7.366040774797926183e-01
1.199999999999994474e-02 8.114982126006156093e-01 7.742698319452147038e-01
1.399999999999993611e-02 8.033824018248896248e-01 7.277058983007805848e-01
1.599999999999992747e-02 8.117160851858428172e-01 7.322621592339978447e-01
1.800000000000008191e-02 8.295942389244004289e-01 7.719685805603656581e-01
2.000000000000006981e-02 8.355776970269096493e-01 8.272754799276147430e-01
2.200000000000006117e-02 8.485986586943655707e-01 8.610267146521274340e-01
2.400000000000005254e-02 8.474820700027618781e-01 8.364071915437280014e-01
2.600000000000004391e-02 8.745745736012469074e-01 9.364041985105178156e-01
2.800000000000003528e-02 8.877701352272728830e-01 9.488909831546413765e-01
3.000000000000002665e-02 8.986365834260573449e-01 9.632101988682294502e-01
3.200000000000001454e-02 9.013991387863005134e-01 1.014611444542178553e+00
3.400000000000000938e-02 9.524316671243685528e-01 1.169868410513725809e+00
3.600000000000000422e-02 9.715079544961331415e-01 1.184900369884698490e+00
3.799999999999999212e-02 9.794477059382892259e-01 1.186470400875406561e+00
3.999999999999998002e-02 1.003757963074100257e+00 1.251285608439910435e+00
4.199999999999997485e-02 1.012792877041903239e+00 1.234721217182347841e+00
4.399999999999996275e-02 1.044506097076230988e+00 1.361545158166761249e+00
4.599999999999995065e-02 1.060736917726089024e+00 1.391918389766102715e+00
4.799999999999994549e-02 1.068910539218355327e+00 1.405485564746280280e+00
4.999999999999993339e-02 1.124249646661931612e+00 1.571041327058787074e+00
5.200000000000008782e-02 1.160318888299005868e+00 1.639952907084354150e+00
5.400000000000007572e-02 1.208021439782591466e+00 1.704204785956060730e+00
5.600000000000007055e-02 1.250806620813604608e+00 1.801900025632378499e+00
5.800000000000005845e-02 1.288170326396780307e+00 1.845475724741723278e+00
6.000000000000005329e-02 1.353942662172506139e+00 2.078818322244298855e+00
6.200000000000004119e-02 1.375882292824731623e+00 2.163980972623705590e+00
6.400000000000002909e-02 1.450491447739109763e+00 2.382085637417032942e+00
6.600000000000003086e-02 1.500330143345565359e+00 2.499031969223529437e+00
6.800000000000001876e-02 1.612542830103772085e+00 2.670292732432594907e+00
6.999999999999999278e-02 1.638442155472696005e+00 2.623680425935050131e+00
7.200000000000000844e-02 1.713504297198547910e+00 2.841436367400211438e+00
7.399999999999998246e-02 1.815991869631865541e+00 3.190866567762208117e+00
7.599999999999998423e-02 1.894133242998342848e+00 3.250366992408061151e+00
7.799999999999997213e-02 1.983631626749920995e+00 3.403924305370035430e+00
7.999999999999996003e-02 2.045783783214961904e+00 3.547350778685283590e+00
8.199999999999994793e-02 2.133969906269728600e+00 3.606744370467509508e+00
8.399999999999994971e-02 2.212951488113557019e+00 3.720931349035241364e+00
8.599999999999993761e-02 2.272729226702572713e+00 3.841005115391280977e+00
8.800000000000009204e-02 2.337471501140309105e+00 3.889183484068740260e+00
9.000000000000007994e-02 2.452419900011836962e+00 4.085708732239633711e+00
9.200000000000006783e-02 2.609529267248658524e+00 4.270962804657654210e+00
9.400000000000005573e-02 2.706453579454703551e+00 4.390440794728825757e+00
9.600000000000005751e-02 2.892640873628867126e+00 4.743990026835547269e+00
9.800000000000004541e-02 3.066672522312973381e+00 5.012335736306948952e+00
1.000000000000000333e-01 3.179375404963699747e+00 5.185665373522834187e+00
1.020000000000000212e-01 3.331339389218356040e+00 5.385600060660984845e+00
1.040000000000000091e-01 3.505093823319129331e+00 5.697160626107820924e+00
1.060000000000000109e-01 3.653811259599906158e+00 5.942634573806719445e+00
1.079999999999999988e-01 3.796327505910668698e+00 6.086848869020454522e+00
1.099999999999999867e-01 3.921776462334279678e+00 6.304545717544753458e+00
1.119999999999999746e-01 4.177959852495659376e+00 6.594700468134582216e+00
1.139999999999999625e-01 4.411066313971748087e+00 6.923755670478081825e+00
1.159999999999999643e-01 4.666073969848879344e+00 7.344840554867932525e+00
1.179999999999999521e-01 4.853302570979324493e+00 7.623808430250189616e+00
1.199999999999999400e-01 5.150626028547191204e+00 8.061207373425537170e+00
1.219999999999999279e-01 5.383142801651278120e+00 8.459809058408817251e+00
1.240000000000000824e-01 5.569563794272806234e+00 8.826647822704190460e+00
1.260000000000000842e-01 5.751775569912010333e+00 9.139150978023637961e+00
1.280000000000000582e-01 5.938429011367581722e+00 9.387198728435677708e+00
1.300000000000000600e-01 6.070125143702652437e+00 9.538305463786461047e+00
1.320000000000000617e-01 6.192796681506470335e+00 9.768926695610332445e+00
1.340000000000000357e-01 6.444692349577811008e+00 1.018655688561948125e+01
1.360000000000000375e-01 6.804384181583412072e+00 1.085236550185769566e+01
1.380000000000000115e-01 7.124102443584280131e+00 1.131858848988124677e+01
1.399999999999999856e-01 7.293606089214407895e+00 1.172052643244656345e+01
